"Source:","C:\Users\PC\OneDrive\Documenten\School\Fontys\Minor\Be creative minor\Git\Audio-DSP\KiCAD\Main board\Main board.kicad_sch"
"Date:","6/8/2023 1:09:46 PM"
"Tool:","Eeschema 7.0.1"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","511"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Cable","FPGA connector","LEDs for all VU-meters","Sim.Device","Sim.Pins","Wire housing"
"18","1","J13","Conn_01x02","Connector_Generic:Conn_01x02","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_2-G-3.81_1x02_P3.81mm_Vertical","https://www.tinytronics.nl/shop/nl/kabels-en-connectoren/connectoren/schroefterminals/terminal-block-voor-afneembare-schroefterminal-2p-3.81mm","","","","","","","https://www.tinytronics.nl/shop/nl/kabels-en-connectoren/connectoren/schroefterminals/afneembare-schroefterminal-90-2p-3.81mm"
"19","1","J14","Conn_01x02","Connector_Generic:Conn_01x02","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_2-G-3.5_1x02_P3.50mm_Vertical","https://www.tinytronics.nl/shop/nl/kabels-en-connectoren/connectoren/schroefterminals/terminal-block-voor-afneembare-schroefterminal-2p-3.81mm","","","https://www.tinytronics.nl/shop/nl/kabels-en-connectoren/connectoren/dc-jack/dc-jack-plastic-5.5mm-male-90-graden","","","","https://www.tinytronics.nl/shop/nl/kabels-en-connectoren/connectoren/schroefterminals/afneembare-schroefterminal-90-2p-3.81mm"
"20","1","J15","Conn_01x06","Connector_Generic:Conn_01x06","Connector_JST:JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical","https://www.tinytronics.nl/shop/nl/kabels-en-connectoren/connectoren/jst-compatible/jst-xh-6p-compatible-printplaatconnector-male","","https://www.tinytronics.nl/shop/nl/kabels-en-connectoren/kabels-en-adapters/jst-compatible/kabel-voor-stappenmotor-4-pin-jst-xh-naar-6-pin-jst-ph-motoraansluiting-20cm","","","","",""
"21","4","J18, J19, J20, J21","Conn_01x05","Connector_Generic:Conn_01x05","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical","https://www.tinytronics.nl/shop/nl/kabels-en-connectoren/kabels-en-adapters/jst-compatible/jst-xh-connector-met-kabel-en-printplaatconnector-5-pins","","","","https://www.tinytronics.nl/shop/nl/componenten/led's/led's/led-set-5mm-groen-rood-geel-30-stuks-diffuus","","",""
"22","2","K1, K2","EA2-12NU","Audio-DSP:EA2-12NU","Audio-DSP:EA2-12NU","https://nl.mouser.com/ProductDetail/KEMET/EA2-12NU?qs=zPSbg0dgZogFbxep1x2N0A%3D%3D","","","","","","",""
"23","3","Q1, Q2, Q3","BC847","Transistor_BJT:BC847","Package_TO_SOT_SMD:SOT-23","https://nl.mouser.com/ProductDetail/Nexperia/BC847C215?qs=me8TqzrmIYVnv3C18%2Fxa3Q%3D%3D","","","","","","",""
"24","1","Q4","BC857","Transistor_BJT:BC857","Package_TO_SOT_SMD:SOT-23","https://nl.mouser.com/ProductDetail/Micro-Commercial-Components-MCC/BC857B-TP?qs=SdqRYZZ9IxCYF9uJ91hYQg%3D%3D","","","","","","",""
"25","36","R1, R2, R3, R4, R6, R7, R35, R36, R38, R39, R47, R48, R52, R53, R55, R56, R78, R79, R84, R85, R87, R88, R102, R114, R115, R116, R117, R118, R119, R120, R121, R122, R123, R136, R137, R176","10R","Device:R","Resistor_SMD:R_0805_2012Metric","https://nl.mouser.com/ProductDetail/Kamaya/RMC1-10-100JTP?qs=sGAEpiMZZMvdGkrng054t%252BjmMOhbS7JJEw%2FLxpBrGXF090y2DlvDnQ%3D%3D","","","","","","",""
"26","6","R5, R8, R50, R51, R54, R57","4R7","Device:R","Resistor_SMD:R_0805_2012Metric","https://nl.mouser.com/ProductDetail/YAGEO/RC0805JR-074R7L?qs=sGAEpiMZZMvdGkrng054t8Tx25L%252BvTaRM%252BUsQYylkb8%3D","","","","","","",""
"27","4","R9, R10, R13, R14","10K","Device:R","Resistor_SMD:R_0805_2012Metric","https://nl.mouser.com/ProductDetail/Panasonic/ERA-6AED103V?qs=sGAEpiMZZMvdGkrng054t%252B2w5OgPkZzP3H4OQ%252B%2FzOTo%3D","","","","","","",""
